site_name,full_name,team
Ryan Sun,Ryan Sun,Vancouver
Kevin Cocks,Kevin Cocks,San Jose
Justin Norden,Justin Norden,San Jose
Simon Higgins,Simon Higgins,San Jose
Matthew Crawford,Matthew Crawford,San Jose
Chuck Cao,Chuck Cao,San Jose
Russell Wynne,Russell Wynne,San Jose
Cassidy Rasmussen,Cassidy Rasmussen,San Jose
Sonny Zaccaro,Sonny Zaccaro,San Jose
Matthew Natali,Matthew Natali,San Jose
Sean Ham,Sean Ham,San Jose
Tyler Grant,Tyler Grant,San Jose
Brett Petersen,Brett Petersen,San Jose
Greg Cohen,Greg Cohen,San Jose
Seth Reinhardt,Seth Reinhardt,San Jose
Marcelo Sanchez,Marcelo Sanchez,San Jose
Ashlin Joye,Ashlin Joye,San Jose
Jordan Marcy,Jordan Marcy,San Jose
Beau Kittredge,Beau Kittredge,San Jose
Kevin Smith,Kevin Smith,San Jose
Kelly Van Arsdale,Kelly Van Arsdale,San Jose
Chris Farina,Chris Farina,San Jose
Scott Roeder,Scott Roeder,San Jose
Ariel Klevecz,Ariel Klevecz,San Jose
Ethan Falat,Ethan Falat,San Jose
Lucas Dillow,Lucas Dillow,San Jose
Matt Jaffe,Matt Jaffe,San Jose
Xtian Guerrero,Xtian Guerrero,San Jose
Christian Johnson,Christian Johnson,San Jose
Adam Brown,Adam Brown,San Jose
Bouche E,Boucher Evan,San Francisco
Boucher,Boucher Evan,San Francisco
Rico Chialvo,Rico Chialvo,San Francisco
Sam C-K,Sam Chatterton-Kirchmeier,San Francisco
Lucas Dallmann,Lucas Dallmann,San Francisco
Brandon Fein,Brandon Fein,San Francisco
Robert Gormley,Robert Gormley,San Francisco
Greenb J,Greenb J,San Francisco
Ben Hubbard,Ben Hubbard,San Francisco
Casey Ikeda,Casey Ikeda,San Francisco
Jordan Jeffery,Jordan Jeffery,San Francisco
Eli Janin,Eli Janin,San Francisco
Eli Kerns,Eli Kerns,San Francisco
Henry Konker,Henry Konker,San Francisco
Kawaok R,Kawaok R,San Francisco
Taylor Lahey,Taylor Lahey,San Francisco
Barrs Lang,Barrs Lang,San Francisco
Patrick Lahey,Patrick Lahey,San Francisco
Greg Marliave,Greg Marliave,San Francisco
Bob Madden,Bob Madden,San Francisco
Clay Miller,Clay Miller,San Francisco
Alex Nord,Alex Nord,San Francisco
